tidy_tweet,Sentiment
depression is not a phase it s a disease   it s like screaming   when no one can hear   it s falling apart  without anyone noticing ,Negative
 nah not really  just glad Christmas is over ,Negative
 Yeah I always struggle at this time of year  knowing all my family will be together and there s me w  https   t co TBtnks bQc,Negative
 So sorry to hear that  its good to be around family ,Positive
 Merry Christmas hun  hope you had a wonderful day,Positive
i m ashamed of myself because i know i should be better and i have no idea how to get there ,Negative
  oh  that makes sense  thanks for letting me know ,Positive
 i m already following for the last   amazing years  lol,Positive
 pls explain   ,Positive
    congratulations hope you re proud of your self Lib ,Positive
   You are so sweet  with a beautiful soul  hope you re doing okay  I m  https   t co  o f DXsVT,Positive
  just saw this now  I m doing okay  it s the worst time of year for me  so I m not in  https   t co aBeOGliOD ,Negative
 Hi sweetheart  I ve missed you  ,Positive
 Depression isn t a CHOICE  becaming more educated might help in your thinking,Negative
 oh     okay  yep no worries ,Negative
i m used to it    i m used to being left out   i m used to being forgotten about   i m used to being ignored   i m  https   t co lSbLzYDHBK,Negative
 my pleasure sweetheart  ,Positive
 It s their loss sweetheart  ,Negative
 Everything is difficult when you re in a dark depression  be kind to yourself ,Negative
i m just so tired of this  my body is tired  my mind is a mess  i just really want to lay in bed and never get up   https   t co  fZigKxu N,Negative
 how fxcking rude  ,Negative
i am constantly torn between wanting to fix myself and wanting to destroy myself ,Negative
 yep me too  that s why I don t tweet much any more ,Positive
 Those how ever are good for your health  They don t  cure  mental illnesses ,Positive
i m sick of making things worse  i m sick of being hurt i m sick of crying myself to sleep i m sick of hating every  https   t co nYOQp pndG,Negative
 yes I agree with all of them ,Positive
Living with depression and anxiety    no motivation to leave your      bed    dreading leaving your house   not bei  https   t co lHiUVNL Ue,Negative
  You re so beautiful   ,Positive
 So sorry that happened to you  I have a name for thise kind of people ,Negative
Sorry for being so fucked up  Sorry for being such a failure  Sorry for being a disgrace  Sorry for being me ,Negative
do you ever write a really long message and about halfway through you re like  you know what  they don t even care  and end up deleting it ,Negative
 you re truly not worthless  you re bound to feel this way when you re deep in depression  have you change your meds ,Positive
 because when you re severely depressed even something as taking a shower because that seems to much  https   t co yOsjJZpj c,Negative
 at times it feels it s never going to ease up ,Negative
 Beautiful,Positive
you hide when you cry because you want to be seen as a strong person  at the same time though  you hate how nobody  https   t co  rR X U ex,Negative
 I m sorry to know you re struggling I m here if you ever want to talk,Negative
 Yes exactly ,Positive
Someone without depression    spills a glass of milk   thought   no big deal i ll just clean it up   someone with d  https   t co  eSn Ea ur,Positive
 thats just what we do the old twitter you d have    s backing you but twitters not the same anymore,Positive
 yeah they all came for me like a bunch of dogs because I called out an account that making jokes about ed,Positive
 you missed the tweet storm i was in with a bunch off haters no one was around to have my back it was the  https   t co do  sEg Ds,Negative
 thank you I m blessed by your kind words,Positive
 I need it  in reality probably the next    minute lol,Positive
 Well you did insult my page,Negative
 People tend to pick on the weak so that think ,Negative
 Miss are chats  hope you re doing okay sweetheart ,Positive
 miss and love you too ,Positive
 love you to the stars and back ,Positive
Depression is not cured by    Just cheer up   Anxiety is not cured by   Just calm down    please stop giving bad an  https   t co eVJNo  nBI,Negative
so sick of going through the same shit over and over again ,Negative
 Hey sweetheart what s a good time to give you a ring Aus time,Positive
 You re such a good friend and always there for others  Some people take kindness as weakness ,Positive
 Omg   That is so fantastic congratulations sweetheart its one day at a time  So proud of you ,Positive
  This is what happens when you re bored outa your brain lol,Positive
  Haha i wish i were twitter famous   it s an app called fake tweets,Positive
 Yep been there before ,Positive
